System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Njunmin,79.75,true,2,2,Njunmin B,1997,L (Brown dwarf) Star,2761,false,false,1,0.1269,2032.6968675,2016.2635612945855,Njunmin B,L (Brown dwarf) Star,9,2761,0.3408,V,7022,1997,0.6678,Njunmin B 7,2774,High metal content world,157,2069.4622,-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
Hyades Sector WL-K b9-1,99.47,true,1,1,Hyades Sector WL-K b9-1,1996,L (Brown dwarf) Star,0,false,false,0,,0,0,Hyades Sector WL-K b9-1,L (Brown dwarf) Star,9,0,0.3525,V,1838,1996,0.3525,Hyades Sector WL-K b9-1 7,2260,Icy body,21,8683.5234,-L (Brown dwarf) Star-,0,false,,,false
Mongatha,70.01,true,1,1,Mongatha,1994,L (Brown dwarf) Star,0,false,false,0,,0,0,Mongatha,L (Brown dwarf) Star,9,0,0.3435,V,7924,1994,0.3435,Mongatha 10 e,1125,Icy body,29,718.5987,-L (Brown dwarf) Star-,1,false,,,false
Puppis Sector PI-T b3-5,57.46,true,2,2,Puppis Sector PI-T b3-5 B,1994,L (Brown dwarf) Star,23398,false,false,1,0.3263,20342.936835,19229.49190235237,Puppis Sector PI-T b3-5 B,L (Brown dwarf) Star,9,23398,0.3434,V,11930,1994,0.418,Puppis Sector PI-T b3-5 B 6,22061,Icy body,32,8312.9785,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2791,Va,false
Xuane,99.78,true,2,2,Xuane B,1993,L (Brown dwarf) Star,3397,false,false,1,0.0776,2411.6412645,2404.3691377680834,Xuane B,L (Brown dwarf) Star,9,3397,0.3175,V,12985,1993,0.653,Xuane B 6,3285,Icy body,109,3634.3994,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3438,Va,false
Lati,98.43,true,2,2,Lati A,1992,L (Brown dwarf) Star,0,false,false,1,0.1942,15525.442764,15229.868708508435,Lati A,L (Brown dwarf) Star,9,0,0.3841,V,1464,1992,0.3841,Lati A 6 a,493,Icy body,49,2816.4592,-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,false,,,false
Puppis Sector OX-U b2-2,92.74,true,2,2,Puppis Sector OX-U b2-2 B,1991,L (Brown dwarf) Star,54151,false,false,1,0.0829,38908.7671635,38774.838162771804,Puppis Sector OX-U b2-2 B,L (Brown dwarf) Star,9,54151,0.2958,V,11592,1991,0.5119,Puppis Sector OX-U b2-2 B 7,54943,Icy body,36,1379.5734,-L (Brown dwarf) Star-M (Red dwarf) Star-,0,true,3407,Va,false
YZ Fornacis,67.67,true,3,3,YZ Fornacis C,1990,L (Brown dwarf) Star,367955,false,false,2,0.0967,803.198448,799.4343176726172,YZ Fornacis C,L (Brown dwarf) Star,9,367955,0.3443,V,6956,1990,0.7641,YZ Fornacis C 5 a,368006,Rocky body,159,695.1852,-K (Yellow-Orange) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2125,VI,false
LP 499-59,59.28,true,3,3,LP 499-59 C,1989,L (Brown dwarf) Star,127780,false,false,1,0.084,102044.9755845,101684.32359431103,LP 499-59 C,L (Brown dwarf) Star,9,127780,0.3634,V,7282,1989,0.5205,LP 499-59 C 5 b,127366,Icy body,34,584.5463,-M (Red dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2186,Va,true
Kadu mist,98.38,true,4,4,Kadu mist B,1989,L (Brown dwarf) Star,628,false,false,2,0.0016,367.01817750000004,367.01770771643214,Kadu mist B,L (Brown dwarf) Star,9,628,0.372,V,2816,1989,0.4587,Kadu mist B 7,590,High metal content world,228,1180.0325,-M (Red dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2387,Va,true
