System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Moon Star Diistance,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Njunmin,79.75,true,1,1,Njunmin B,1997,L (Brown dwarf) Star,2761,false,false,1,0.1269,2032.6968675,2016.2635612945855,Njunmin A,K (Yellow-Orange) Star,0,0,0.6678,Va,7022,4059,2774,0.6678,Njunmin B 7,2774,High metal content world,157,2069.4622,-K (Yellow-Orange) Star-,1,false,,,false
Mongatha,70.01,true,0,0,Mongatha,1994,L (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Mongatha 10 e,1125,Icy body,29,718.5987,-,1,false,,,false
Puppis Sector PI-T b3-5,57.46,true,1,1,Puppis Sector PI-T b3-5 B,1994,L (Brown dwarf) Star,23398,false,false,1,0.3263,20342.936835,19229.49190235237,Puppis Sector PI-T b3-5 A,M (Red dwarf) Star,6,0,0.418,Va,11930,2791,22061,0.418,Puppis Sector PI-T b3-5 B 6,22061,Icy body,32,8312.9785,-M (Red dwarf) Star-,0,true,2791,Va,false
YZ Fornacis,67.67,true,2,2,YZ Fornacis C,1990,L (Brown dwarf) Star,367955,false,false,2,0.0967,803.198448,799.4343176726172,YZ Fornacis B,M (Red dwarf) Star,9,367332,0.3757,VI,6956,2125,674,0.7641,YZ Fornacis C 5 a,368006,Rocky body,159,695.1852,-K (Yellow-Orange) Star-M (Red dwarf) Star-,1,true,2125,VI,false
LP 499-59,59.28,true,2,2,LP 499-59 C,1989,L (Brown dwarf) Star,127780,false,false,1,0.084,102044.9755845,101684.32359431103,LP 499-59 B,M (Red dwarf) Star,9,953,0.3997,Va,7282,2186,126413,0.5205,LP 499-59 C 5 b,127366,Icy body,34,584.5463,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2186,Va,true
NLTT 34715,72.19,true,1,1,NLTT 34715 B,1989,L (Brown dwarf) Star,72143,false,false,1,0.1628,58674.105711,57891.33975095817,NLTT 34715 A,M (Red dwarf) Star,0,0,0.6893,V,7888,3967,72185,0.6893,NLTT 34715 B 5,72185,Icy body,55,10283.3682,-M (Red dwarf) Star-,1,true,3967,V,false
Khaka,56.51,true,1,1,Khaka B,1988,L (Brown dwarf) Star,126842,false,false,1,0.4267,60954.857964,55127.1607276229,Khaka A,M (Red dwarf) Star,4,0,0.6231,Va,2202,3224,128662,0.6231,Khaka B 4,128662,Class I gas giant,36,42011.6367,-M (Red dwarf) Star-,1,true,3224,Va,false
Ehi,54.33,true,0,0,Ehi,1986,L (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Ehi 11 a,1350,Icy body,27,914.5408,-,1,false,,,false
Tascheter Sector EG-Y d106,65.04,true,0,0,Tascheter Sector EG-Y d106,1984,L (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Tascheter Sector EG-Y d106 6,1972,Icy body,21,1945.1931,-,0,false,,,false
Alrai Sector BP-R a4-0,61.66,true,0,0,Alrai Sector BP-R a4-0,1983,L (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Alrai Sector BP-R a4-0 6 a,3289,Icy body,20,2796.0535,-,0,false,,,false
Ross 878,63.10,true,2,2,Ross 878 C,1981,L (Brown dwarf) Star,123312,false,false,1,0.2691,83449.4544585,80371.19114729854,Ross 878 B,M (Red dwarf) Star,9,17841,0.3021,VI,974,2083,105805,0.5478,Ross 878 C 3,123646,Icy body,51,2608.918,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2083,VI,false
Quapa,47.81,true,0,0,Quapa,1977,L (Brown dwarf) Star,0,false,false,0,,0,0,,,,,,,,,,,Quapa 1 e,817,Icy body,40,2227.8413,-,1,false,,,true
LHS 4058,41.84,true,3,3,LHS 4058 D,1976,L (Brown dwarf) Star,19925,false,false,1,0.0871,16020.755127000002,15959.869422722795,LHS 4058 C,L (Brown dwarf) Star,9,4061,0.235,V,9208,1367,16009,0.4819,LHS 4058 D 5,20070,Icy body,46,5933.3335,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2758,V,false
G 123-49,71.05,true,1,1,G 123-49 B,1971,L (Brown dwarf) Star,233572,false,false,1,0.152,144696.57965099998,143015.27680824592,G 123-49 A,M (Red dwarf) Star,6,0,0.4801,V,9206,2753,232288,0.4801,G 123-49 B 6,232288,Icy body,31,6816.9136,-M (Red dwarf) Star-,1,true,2753,V,false
Ngalkin,79.42,true,1,1,Ngalkin B,1966,L (Brown dwarf) Star,26637,false,false,1,0.1924,21574.98018,21171.88587172357,Ngalkin A,M (Red dwarf) Star,4,0,0.4939,Va,6190,3209,26264,0.4939,Ngalkin B 5,26264,Class I gas giant,41,38382.3672,-M (Red dwarf) Star-,1,true,3209,Va,false
