System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Moon Star Diistance,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Njunmin,79.75,true,2,2,Njunmin B,1997,L (Brown dwarf) Star,2761,false,false,1,0.1269,2032.6968675,2016.2635612945855,Njunmin B,L (Brown dwarf) Star,9,2761,0.3408,V,7022,1997,13,0.6678,Njunmin B 7,2774,High metal content world,157,2069.4622,-K (Yellow-Orange) Star-L (Brown dwarf) Star-,1,false,,,false
Mongatha,70.01,true,1,1,Mongatha,1994,L (Brown dwarf) Star,0,false,false,0,,0,0,Mongatha,L (Brown dwarf) Star,9,0,0.3435,V,7924,1994,1125,0.3435,Mongatha 10 e,1125,Icy body,29,718.5987,-L (Brown dwarf) Star-,1,false,,,false
Puppis Sector PI-T b3-5,57.46,true,2,2,Puppis Sector PI-T b3-5 B,1994,L (Brown dwarf) Star,23398,false,false,1,0.3263,20342.936835,19229.49190235237,Puppis Sector PI-T b3-5 B,L (Brown dwarf) Star,9,23398,0.3434,V,11930,1994,1337,0.418,Puppis Sector PI-T b3-5 B 6,22061,Icy body,32,8312.9785,-M (Red dwarf) Star-L (Brown dwarf) Star-,0,true,2791,Va,false
YZ Fornacis,67.67,true,3,3,YZ Fornacis C,1990,L (Brown dwarf) Star,367955,false,false,2,0.0967,803.198448,799.4343176726172,YZ Fornacis C,L (Brown dwarf) Star,9,367955,0.3443,V,6956,1990,51,0.7641,YZ Fornacis C 5 a,368006,Rocky body,159,695.1852,-K (Yellow-Orange) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2125,VI,false
LP 499-59,59.28,true,3,3,LP 499-59 C,1989,L (Brown dwarf) Star,127780,false,false,1,0.084,102044.9755845,101684.32359431103,LP 499-59 C,L (Brown dwarf) Star,9,127780,0.3634,V,7282,1989,414,0.5205,LP 499-59 C 5 b,127366,Icy body,34,584.5463,-M (Red dwarf) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2186,Va,true
NLTT 34715,72.19,true,2,2,NLTT 34715 B,1989,L (Brown dwarf) Star,72143,false,false,1,0.1628,58674.105711,57891.33975095817,NLTT 34715 B,L (Brown dwarf) Star,9,72143,0.3611,V,7888,1989,42,0.6893,NLTT 34715 B 5,72185,Icy body,55,10283.3682,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3967,V,false
Khaka,56.51,true,2,2,Khaka B,1988,L (Brown dwarf) Star,126842,false,false,1,0.4267,60954.857964,55127.1607276229,Khaka B,L (Brown dwarf) Star,9,126842,0.3657,V,2202,1988,1820,0.6231,Khaka B 4,128662,Class I gas giant,36,42011.6367,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3224,Va,false
Ehi,54.33,true,1,1,Ehi,1986,L (Brown dwarf) Star,0,false,false,0,,0,0,Ehi,L (Brown dwarf) Star,9,0,0.3487,V,660,1986,1350,0.3487,Ehi 11 a,1350,Icy body,27,914.5408,-L (Brown dwarf) Star-,1,false,,,false
Tascheter Sector EG-Y d106,65.04,true,1,1,Tascheter Sector EG-Y d106,1984,L (Brown dwarf) Star,0,false,false,0,,0,0,Tascheter Sector EG-Y d106,L (Brown dwarf) Star,9,0,0.3074,V,1676,1984,1972,0.3074,Tascheter Sector EG-Y d106 6,1972,Icy body,21,1945.1931,-L (Brown dwarf) Star-,0,false,,,false
Alrai Sector BP-R a4-0,61.66,true,1,1,Alrai Sector BP-R a4-0,1983,L (Brown dwarf) Star,0,false,false,0,,0,0,Alrai Sector BP-R a4-0,L (Brown dwarf) Star,9,0,0.3544,V,602,1983,3289,0.3544,Alrai Sector BP-R a4-0 6 a,3289,Icy body,20,2796.0535,-L (Brown dwarf) Star-,0,false,,,false
Ross 878,63.10,true,3,3,Ross 878 C,1981,L (Brown dwarf) Star,123312,false,false,1,0.2691,83449.4544585,80371.19114729854,Ross 878 C,L (Brown dwarf) Star,9,123312,0.3369,V,974,1981,334,0.5478,Ross 878 C 3,123646,Icy body,51,2608.918,-L (Brown dwarf) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2083,VI,false
Quapa,47.81,true,1,1,Quapa,1977,L (Brown dwarf) Star,0,false,false,0,,0,0,Quapa,L (Brown dwarf) Star,9,0,0.326,V,3040,1977,817,0.326,Quapa 1 e,817,Icy body,40,2227.8413,-L (Brown dwarf) Star-,1,false,,,true
