System name,Distance from Sol (ly),System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
29 Omicron Librae,184.76,4,4,29 Omicron Librae AB 2,1368,L (Brown dwarf) Star,3593,true,false,1,0.0071,4028.96637,4028.8648186228265,29 Omicron Librae AB 2,L (Brown dwarf) Star,9,3593,0.2578,V,1664,1368,1.4684,29 Omicron Librae AB 2 h,3616,Rocky body,274,2135.4417,-F (White) Star-F (White) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
RW Comae Berenices,278.53,7,7,RW Comae Berenices AB 3,1270,T (Brown dwarf) Star,2838,true,false,2,0.0758,74.7010485,74.48613668767153,RW Comae Berenices AB 3,T (Brown dwarf) Star,9,2838,0.2108,V,6992,1270,1.0012,RW Comae Berenices AB 3 h,2810,Rocky body,260,3886.9109,-G (White-Yellow) Star-T (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-G (White-Yellow) Star-,0,false,,,false
29 Omicron Librae,184.76,4,4,29 Omicron Librae AB 1,1135,T (Brown dwarf) Star,2051,true,false,1,0.0013,2375.1639990000003,2375.161991985573,29 Omicron Librae AB 1,T (Brown dwarf) Star,9,2051,0.2049,V,1664,1135,1.4684,29 Omicron Librae AB 1 h,2111,Icy body,2246,6632.6372,-F (White) Star-F (White) Star-T (Brown dwarf) Star-L (Brown dwarf) Star-,0,false,,,false
HR 3131,241.26,1,1,HR 3131 3,1126,Class IV gas giant,1637,false,true,1,0,1636.6864995,1636.6864995,HR 3131,A (Blue-White) Star,0,0,2.172,V,960,12256,2.172,HR 3131 3 h,1638,Rocky body,437,697.3444,-A (Blue-White) Star-,0,false,,,false
14 i Orionis,193.70,1,1,14 i Orionis 6,1115,Class IV gas giant,2171,false,true,1,0.0056,2171.869362,2171.835306821409,14 i Orionis,A (Blue-White) Star,0,0,1.4236,V,1654,8031,1.4236,14 i Orionis 6 h,2170,Rocky body,295,1433.2825,-A (Blue-White) Star-,1,false,,,false
4 Arietis,275.27,5,5,4 Arietis 9,1106,T (Brown dwarf) Star,3264,false,true,1,0.0056,3281.157477,3281.1060280473976,4 Arietis 9,T (Brown dwarf) Star,9,3264,0.1891,V,454,1106,1.9146,4 Arietis 9 h,3290,Icy body,2142,6275.3799,-B (Blue-White) Star-Y (Brown dwarf) Star-T (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
HR 1480,160.38,6,6,HR 1480 9,1053,T (Brown dwarf) Star,2985,false,true,2,0.1389,39.0720915,38.69334274963851,HR 1480 9,T (Brown dwarf) Star,9,2985,0.1827,V,698,1053,3.0394,HR 1480 9 h,2983,Rocky body,292,1136.6,-A (Blue-White) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-T (Brown dwarf) Star-Y (Brown dwarf) Star-T (Brown dwarf) Star-,1,false,,,false
Alpha Arae,267.32,4,4,Alpha Arae B 7,1041,Class IV gas giant,152874,false,true,3,0.1162,2.99403,2.973747947802854,Alpha Arae B 2,Y (Brown dwarf) Star,9,153193,0.0628,V,590,335,3.3924,Alpha Arae B 7 h,152884,Rocky body,395,1752.2006,-B (Blue-White) Star-B (Blue-White) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
HIP 74775,184.67,4,4,HIP 74775 AB 3,1034,Class IV gas giant,1412,true,false,2,0.0002,1342.7725545,1342.7725276445485,HIP 74775 B,F (White) Star,0,259,1.0993,VI,2496,7328,1.4094,HIP 74775 AB 3 h,1392,Rocky body,332,986.655,-F (White) Star-F (White) Star-K (Yellow-Orange) Star-M (Red dwarf) Star-,0,true,2142,VI,false
HIP 58327,297.29,4,4,HIP 58327 7,1025,Class IV gas giant,3111,false,true,2,0.1829,0.5489055,0.5396462997747836,HIP 58327 6,Y (Brown dwarf) Star,9,2287,0.0954,V,790,608,1.4511,HIP 58327 7 h,3099,Rocky body,241,1105.3864,-A (Blue-White) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-Y (Brown dwarf) Star-,0,false,,,false
