===== PARAMETERS =====
Total rows : 1813
Reference system: Sol
Area of search : 250 ly
Gas types Class I gas giant +Class II gas giant +Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Distance from Sol (ly),System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,Cold Stars Count,Coldest star temp,Cold Stars Luminosities,Has T Tauri Star ?,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
Phi Eridani,153.71,3,1,Phi Eridani BC 2,1055,Class IV gas giant,87027.25,true,false,2,0.0017,1482.943059,1482.9409161457315,Phi Eridani C,M (Red dwarf) Star,3,87856.6406,0.5735,Va,356,3323,0.5735,0,,-,false,Phi Eridani BC 2 g,87037.2031,Rocky body,328,1357.2142
CN Bootis,69.90,5,1,CN Bootis A 12,998,Class IV gas giant,2803.4333,false,true,2,0.0005,2803.9589955,2803.958645005104,CN Bootis C,M (Red dwarf) Star,3,278209.9688,0.5338,Va,328,3384,0.5338,0,,-,false,CN Bootis A 12 h,2735.5469,Icy body,221,3861.8589
Balie,159.25,3,1,Balie A 1,955,Class IV gas giant,2522.5002,false,true,2,0.0124,2538.8875395,2538.692342322295,Balie B,M (Red dwarf) Star,5,44232.7461,0.456,Va,2796,2984,0.456,0,,-,false,Balie A 1 g,2514.8203,Rocky body,194,1194.3842
HIP 9056,246.36,3,1,HIP 9056 ABC 1,953,Class IV gas giant,2590.738,true,false,1,0.0012,2486.9411189999996,2486.939328401749,HIP 9056 C,M (Red dwarf) Star,9,1133.8466,0.4259,Va,7064,2230,0.4259,1,2230,-Va-,false,HIP 9056 ABC 1 h,2534.7498,Icy body,0,3946.561
HIP 97449,231.15,2,1,HIP 97449 AB 4,949,Class IV gas giant,2170.7197,true,false,0,0.0991,0.9980100000000001,0.993097275211452,HIP 97449 B,M (Red dwarf) Star,5,31.3206,0.5211,Va,6962,2942,0.5211,0,,-,false,HIP 97449 AB 4 h,2181.3003,Rocky body,159,896.3323
Pa Pa Pole,151.85,3,3,Pa Pa Pole ABC 1,945,Class IV gas giant,2547.907,true,false,1,0.0008,2513.6378865,2513.6370821357473,Pa Pa Pole C,M (Red dwarf) Star,9,896.6121,0.4001,Va,2670,2324,0.5364,1,2324,-Va-,false,Pa Pa Pole ABC 1 f,2573.5037,Icy body,89,3822.2275
66 G. Apodis,245.59,2,1,66 G. Apodis A 2,928,Class IV gas giant,990.3758,false,false,0,0.0024,988.3792034999999,988.3763569637948,66 G. Apodis B,M (Red dwarf) Star,2,21742.8398,0.5957,,5652,3447,0.5957,0,,-,false,66 G. Apodis A 2 f a,979,Rocky body,450,511.6075
Coelesi,221.32,4,1,Coelesi ABCD 1,927,Class IV gas giant,4530.7578,true,false,1,0.001,3929.664375,3929.6624101673215,Coelesi C,M (Red dwarf) Star,6,298.1062,0.4916,Va,5054,2781,0.4916,0,,-,false,Coelesi ABCD 1 h,4508.5981,Rocky body,151,1415.7439
Khaima,93.16,3,1,Khaima ABC 1,922,Class IV gas giant,1455.163,true,false,1,0.0051,1453.4518635,1453.4329612356023,Khaima C,M (Red dwarf) Star,6,550.3358,0.4053,Va,12997,2638,0.4053,0,,-,false,Khaima ABC 1 h,1488.5634,Icy body,336,2966.967
Col 285 Sector YT-Q c5-7,235.13,3,1,Col 285 Sector YT-Q c5-7 ABC 1,876,Class IV gas giant,1025.2422,true,false,0,0,1173.5100585,1173.5100585,Col 285 Sector YT-Q c5-7 B,M (Red dwarf) Star,9,481.8218,0.4135,Va,258,2300,0.4135,1,2300,-Va-,false,Col 285 Sector YT-Q c5-7 ABC 1 h,1026.0861,Rocky body,158,1213.3602
Mizo,138.63,1,1,Mizo 9,870,Class IV gas giant,2061.9214,false,true,1,0.0054,2051.1600525,2051.130146368417,Mizo,M (Red dwarf) Star,3,0,0.6432,Va,556,3327,0.6432,0,,-,false,Mizo 9 f,2072.1104,Rocky body,121,1392.3904
Antliae Sector IR-W c1-10,185.47,5,2,Antliae Sector IR-W c1-10 ABCD 2,854,Class IV gas giant,5875.1113,true,false,1,0.0051,6008.1699015,6008.091764742343,Antliae Sector IR-W c1-10 C,M (Red dwarf) Star,3,2342.3643,0.5763,Va,1640,3259,0.5763,0,,-,false,Antliae Sector IR-W c1-10 ABCD 2 f,5773.3022,Icy body,83,3163.5278
Nox,76.84,5,1,Nox ABCD 7,850,Class IV gas giant,3747.3713,true,false,2,0.1457,3.193632,3.1595521714847736,Nox B,M (Red dwarf) Star,9,5.1026,0.4059,Va,12910,2262,0.4059,1,2262,-Va-,false,Nox ABCD 7 h,3756.9189,Rocky body,154,1032.6436
HIP 3434,210.18,4,1,HIP 3434 AB 1,841,Class IV gas giant,2960.3164,true,false,2,0.0013,2616.0337124999996,2616.031501950579,HIP 3434 C,M (Red dwarf) Star,8,379278.8438,0.4468,Va,2496,2460,0.4468,1,2460,-Va-,false,HIP 3434 AB 1 h,2965.3154,Rocky body,207,1537.0625
Maljangapa,176.41,1,1,Maljangapa 4,840,Class IV gas giant,947.778,false,true,1,0.0034,946.3629825,946.3575125061528,Maljangapa,T Tauri Star,0,0,0.8452,Va,208,4341,0.8452,0,,-,true,Maljangapa 4 f a,945.8271,Rocky body,180,691.218
LTT 9299,89.96,3,2,LTT 9299 ABC 2,822,Class IV gas giant,2879.7939,true,false,1,0.0014,3037.5931365,3037.5901596572676,LTT 9299 B,M (Red dwarf) Star,9,923.2864,0.4205,Va,7040,2386,0.4205,2,2088,-Va-VI-,false,LTT 9299 ABC 2 h,2822.2361,Icy body,147,4063.8652
Pa Pa Pole,151.85,3,3,Pa Pa Pole ABC 2,809,Class IV gas giant,3315.0811,true,false,1,0.0095,3503.713707,3503.5555983515646,Pa Pa Pole C,M (Red dwarf) Star,9,896.6121,0.4001,Va,2670,2324,0.5364,1,2324,-Va-,false,Pa Pa Pole ABC 2 h,3344.4272,Icy body,128,2712.9492
Wolf 1414,87.41,2,1,Wolf 1414 AB 1,794,Class III gas giant,3583.4917,true,false,1,0.0006,2945.1774105,2945.1768803680184,Wolf 1414 B,M (Red dwarf) Star,5,2023.1096,0.5872,Va,3118,3087,0.5872,0,,-,false,Wolf 1414 AB 1 h,3610.3916,Icy body,85,1417.9285
HIP 9056,246.36,3,1,HIP 9056 ABC 2,789,Class III gas giant,2937.1829,true,false,1,0.0053,3249.819963,3249.774318958082,HIP 9056 C,M (Red dwarf) Star,9,1133.8466,0.4259,Va,7064,2230,0.4259,1,2230,-Va-,false,HIP 9056 ABC 2 h,2843.0178,Icy body,0,3924.8684
HIP 794,180.40,2,1,HIP 794 A 1,772,Class III gas giant,953.0236,false,false,0,0.001,952.2512415,952.2507653742604,HIP 794 B,M (Red dwarf) Star,4,50356.7461,0.5911,Va,10128,3190,0.5911,0,,-,false,HIP 794 A 1 f,945.507,Rocky body,218,1337.5049
Meidmarama,173.87,2,1,Meidmarama AB 1,766,Class III gas giant,2764.7336,true,false,1,0.0102,2973.07179,2972.9171267825895,Meidmarama B,M (Red dwarf) Star,9,1483.3401,0.343,Va,746,2308,0.343,1,2308,-Va-,false,Meidmarama AB 1 g,2785.0149,Icy body,92,3360.7349
Warici,152.82,1,1,Warici 6,760,Class III gas giant,2004.9706,false,true,1,0.0033,2011.4392544999998,2011.4283021834412,Warici,M (Red dwarf) Star,4,0,0.5752,Va,1776,3216,0.5752,0,,-,false,Warici 6 g,2024.7788,Icy body,88,2230.8379
HIP 117394,188.00,4,1,HIP 117394 AB 8,755,Class III gas giant,1920.6532,true,false,0,0.0007,1914.7320855,1914.7316163905814,HIP 117394 C,M (Red dwarf) Star,1,37826.0391,0.6477,Va,1032,3613,0.6477,0,,-,false,HIP 117394 AB 8 g a,1897.9714,Rocky body,741,535.3351
LP 1-52,66.57,1,1,LP 1-52 3,748,Class III gas giant,2012.3104,false,true,1,0.0016,2015.0819909999998,2015.0794116934005,LP 1-52,M (Red dwarf) Star,2,0,0.5935,V,3404,3452,0.5935,0,,-,false,LP 1-52 3 h,2016.541,Icy body,84,2928.0459
HIP 111808,163.43,3,2,HIP 111808 ABC 8,731,Class III gas giant,3072.624,true,false,1,0.0019,3070.3278645,3070.322322553203,HIP 111808 C,M (Red dwarf) Star,9,46.5623,0.3358,VI,7986,2082,0.5289,1,2082,-VI-,false,HIP 111808 ABC 8 g,3048.7632,Icy body,74,2370.3567
Ross 340,116.68,6,3,Ross 340 ABC 1,729,Class III gas giant,1933.4299,true,false,2,0.0017,1895.520393,1895.517653971053,Ross 340 B,M (Red dwarf) Star,9,318.4515,0.377,Va,400,2269,0.4915,1,2269,-Va-,false,Ross 340 ABC 1 g,1902.918,Rocky body,190,1544.6923
HIP 97950,139.20,3,1,HIP 97950 ABC 1,718,Class III gas giant,1970.653,true,false,1,0.0003,1662.784461,1662.7843861746974,HIP 97950 B,M (Red dwarf) Star,6,817.8988,0.5062,Va,9086,2792,0.5062,0,,-,false,HIP 97950 ABC 1 g,1966.0033,Rocky body,172,1144.8555
HR 6999,156.44,4,1,HR 6999 ABCD 6,715,Class III gas giant,2677.6167,true,false,2,0.0244,0.8483084999999999,0.8480559379287844,HR 6999 D,M (Red dwarf) Star,8,43.9501,0.4995,Va,3184,2477,0.4995,1,2477,-Va-,false,HR 6999 ABCD 6 g,2670.5994,Rocky body,221,1074.9552
Lyncis Sector SI-T b3-0,150.08,1,1,Lyncis Sector SI-T b3-0 11,701,Class III gas giant,2081.6846,false,true,1,0.0056,2080.5514470000003,2080.5188236975423,Lyncis Sector SI-T b3-0,M (Red dwarf) Star,1,0,0.5997,Vz,212,3673,0.5997,0,,-,false,Lyncis Sector SI-T b3-0 11 g,2087.5684,Icy body,98,1713.1179
Kepler-138,200.01,1,1,Kepler-138 4,701,Class III gas giant,1346,false,false,0,0.0003,1345.8663855,1345.866324936011,Kepler-138,M (Red dwarf) Star,3,0,0.5873,V,1820,3385,0.5873,0,,-,false,Kepler-138 4 g,1281,Icy body,81,3848.2512
Baudu,49.95,2,2,Baudu AB 8,696,Class III gas giant,3089.1548,true,false,1,0.0148,3093.5814975,3093.242669899178,Baudu B,M (Red dwarf) Star,5,34.0603,0.5407,Va,8822,3085,0.63,0,,-,false,Baudu AB 8 g,3095.4724,Icy body,80,3792.0066
Hmontabozho,143.86,3,1,Hmontabozho AB 3,687,Class III gas giant,2716.1831,true,false,2,0.0198,2743.0304849999998,2742.4927434551146,Hmontabozho C,M (Red dwarf) Star,9,21857.3066,0.3894,Va,1808,2193,0.3894,1,2193,-Va-,false,Hmontabozho AB 3 h,2692.4705,Icy body,113,2030.016
Col 285 Sector FN-O b21-4,143.08,1,1,Col 285 Sector FN-O b21-4 8,687,Class III gas giant,1428.5186,false,true,1,0.0006,1427.8030065,1427.8027494954356,Col 285 Sector FN-O b21-4,M (Red dwarf) Star,4,0,0.507,Va,428,3242,0.507,0,,-,false,Col 285 Sector FN-O b21-4 8 h,1395,Icy body,79,1627.6271
Col 285 Sector SI-J c9-8,217.15,2,2,Col 285 Sector SI-J c9-8 11,682,Class III gas giant,2865.5176,false,false,0,0.0012,2868.9294465,2868.9273808700545,Col 285 Sector SI-J c9-8 10,T Tauri Star,9,1979.3374,0.0674,,202,333,0.9753,1,333,-null-,true,Col 285 Sector SI-J c9-8 11 g,2901.0508,Icy body,104,2688.7209
Lak,104.29,2,1,Lak AB 1,681,Class III gas giant,2319.5049,true,false,1,0.0002,2363.487282,2363.4872347302535,Lak B,M (Red dwarf) Star,4,1401.1917,0.5407,Va,1150,3121,0.5407,0,,-,false,Lak AB 1 g,2315.0413,Rocky body,132,1957.796
HIP 82186,187.64,2,1,HIP 82186 AB 8,671,Class III gas giant,15785.8936,true,false,0,0.0066,15703.6374495,15703.295420551614,HIP 82186 B,M (Red dwarf) Star,4,728.0271,0.5763,Va,1392,3106,0.5763,0,,-,false,HIP 82186 AB 8 f a,15830.2627,Icy body,109,1140.3176
Milceni,105.48,3,2,Milceni A 8,670,Class III gas giant,2140.6904,false,true,2,0,2140.631649,2140.631649,Milceni C,M (Red dwarf) Star,8,450903.7812,0.4172,Va,924,2449,0.5173,1,2449,-Va-,false,Milceni A 8 h,2119.7109,Rocky Ice world,121,1203.168
60 b Leonis,126.74,3,1,60 b Leonis ABC 1,667,Class III gas giant,4798.7148,true,false,1,0.0003,5013.503235,5013.50300939235,60 b Leonis C,M (Red dwarf) Star,5,3271.7004,0.5186,Va,492,2873,0.5186,0,,-,false,60 b Leonis ABC 1 g,4876.1416,Icy body,162,5007.3325
HR 8718,127.29,2,1,HR 8718 AB 1,665,Class III gas giant,3064.4019,true,false,1,0.0012,2689.7866515,2689.7847148529136,HR 8718 B,M (Red dwarf) Star,3,1598.3691,0.6423,Va,2552,3350,0.6423,0,,-,false,HR 8718 AB 1 f,3057.0833,Rocky body,192,1580.9333
