===== PARAMETERS =====
Total rows : 5415
Reference system: Sol
Area of search : 1000 ly
Gas types Class I gas giant +Class II gas giant +Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Distance from Sol (ly),System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,Has T Tauri Star ?,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
21 Zeta Cephei,836.34,1,1,21 Zeta Cephei 4,1300,Class IV gas giant,1600,false,false,0,0.0015,1601.506647,1601.5048453040088,21 Zeta Cephei,M (Red super giant) Star,0,0,91.6004,I,1636,91.6004,false,4258,21 Zeta Cephei 4 h,1596,Metal-rich body,1012,272.688
HIP 16572,360.02,2,1,HIP 16572 A 3,1181,Class IV gas giant,1895.4667,false,true,2,0.0023,1891.1790494999998,1891.1740473247985,HIP 16572 B,M (Red dwarf) Star,3,286974,0.6179,Va,1384,0.6179,false,3347,HIP 16572 A 3 g,1897,Rocky body,315,1653.9655
HIP 5574,400.70,4,1,HIP 5574 AB 5,1078,Class IV gas giant,1933.8583,true,false,3,0.0218,0.099801,0.09977728246816517,HIP 5574 B,M (Red dwarf) Star,4,285.405,0.5456,Va,340,0.5456,false,3188,HIP 5574 AB 5 g a,1931.2456,Rocky body,226,455.3526
HIP 58523,326.15,2,1,HIP 58523 A 13,1060,Class IV gas giant,4749.2129,false,false,0,0.0005,4751.4757095,4751.475115565499,HIP 58523 B,M (Red dwarf) Star,1,173804.5781,0.6916,Va,628,0.6916,false,3659,HIP 58523 A 13 g,4716.1587,Rocky body,156,2217.72
Phi Eridani,153.71,3,1,Phi Eridani BC 2,1055,Class IV gas giant,87027.25,true,false,2,0.0017,1482.943059,1482.9409161457315,Phi Eridani C,M (Red dwarf) Star,3,87856.6406,0.5735,Va,356,0.5735,false,3323,Phi Eridani BC 2 g,87037.2031,Rocky body,328,1357.2142
Synuefe MY-P d6-21,829.04,7,1,Synuefe MY-P d6-21 CDE 2,1050,Class IV gas giant,460091.6875,true,false,2,0.0081,3573.175203,3573.0579830647334,Synuefe MY-P d6-21 E,M (Red dwarf) Star,6,456173.9688,0.5155,Va,1074,0.5155,false,2698,Synuefe MY-P d6-21 CDE 2 h,460095.9688,Rocky body,188,1481.1134
Wregoe FC-D d12-47,346.24,3,2,Wregoe FC-D d12-47 ABC 3,1022,Class IV gas giant,1525.2188,true,false,1,0.0003,1467.174501,1467.1744349771457,Wregoe FC-D d12-47 C,M (Red dwarf) Star,2,256.9514,0.61,Va,540,0.61,false,3481,Wregoe FC-D d12-47 ABC 3 h,1510.3649,Rocky body,205,1476.308
CN Bootis,69.90,5,1,CN Bootis A 12,998,Class IV gas giant,2803.4333,false,true,2,0.0005,2803.9589955,2803.958645005104,CN Bootis C,M (Red dwarf) Star,3,278209.9688,0.5338,Va,328,0.5338,false,3384,CN Bootis A 12 h,2735.5469,Icy body,221,3861.8589
HIP 61409,613.08,4,1,HIP 61409 BCD 1,997,Class IV gas giant,124371,true,false,0,0.0011,0.0499005,0.04990046981018837,HIP 61409 D,M (Red dwarf) Star,7,127562,0.3949,,2208,0.3949,false,2500,HIP 61409 BCD 1 h,124368,Rocky body,223,1175.3427
HIP 29452,836.31,5,2,HIP 29452 A 7,973,Class IV gas giant,1685.4174,false,true,2,0.0001,1685.539089,1685.5390805723043,HIP 29452 E,M (Red dwarf) Star,9,238007.3594,0.3026,VI,932,0.4064,false,2059,HIP 29452 A 7 f a,1706.1826,Rocky body,822,682.6382
Praea Euq XZ-Y d22,451.71,3,2,Praea Euq XZ-Y d22 ABC 4,965,Class IV gas giant,1835,true,false,0,0.0016,1793.0746665000001,1793.072371362958,Praea Euq XZ-Y d22 C,M (Red dwarf) Star,2,187,0.6314,,1736,0.6314,false,3489,Praea Euq XZ-Y d22 ABC 4 h,1852,Rocky body,194,1920.9194
Balie,159.25,3,1,Balie A 1,955,Class IV gas giant,2522.5002,false,true,2,0.0124,2538.8875395,2538.692342322295,Balie B,M (Red dwarf) Star,5,44232.7461,0.456,Va,2796,0.456,false,2984,Balie A 1 g,2514.8203,Rocky body,194,1194.3842
HIP 9056,246.36,3,1,HIP 9056 ABC 1,953,Class IV gas giant,2590.738,true,false,1,0.0012,2486.9411189999996,2486.939328401749,HIP 9056 C,M (Red dwarf) Star,9,1133.8466,0.4259,Va,7064,0.4259,false,2230,HIP 9056 ABC 1 h,2534.7498,Icy body,0,3946.561
HIP 97449,231.15,2,1,HIP 97449 AB 4,949,Class IV gas giant,2170.7197,true,false,0,0.0991,0.9980100000000001,0.993097275211452,HIP 97449 B,M (Red dwarf) Star,5,31.3206,0.5211,Va,6962,0.5211,false,2942,HIP 97449 AB 4 h,2181.3003,Rocky body,159,896.3323
Pa Pa Pole,151.85,3,3,Pa Pa Pole ABC 1,945,Class IV gas giant,2547.907,true,false,1,0.0008,2513.6378865,2513.6370821357473,Pa Pa Pole C,M (Red dwarf) Star,9,896.6121,0.4001,Va,2670,0.5364,false,2324,Pa Pa Pole ABC 1 f,2573.5037,Icy body,89,3822.2275
Pencil Sector HW-W c1-29,825.95,3,1,Pencil Sector HW-W c1-29 ABC 3,937,Class IV gas giant,3016.1982,true,false,1,0.0021,3058.0024409999996,3057.9956980971833,Pencil Sector HW-W c1-29 C,M (Red dwarf) Star,5,426.3403,0.4999,Va,7562,0.4999,false,2934,Pencil Sector HW-W c1-29 ABC 3 f a,3019.8704,Rocky body,236,588.4983
Synuefe MY-P d6-24,801.00,3,1,Synuefe MY-P d6-24 A 10,934,Class IV gas giant,3443.9822,false,false,0,0.0129,3404.7610155,3404.477710573022,Synuefe MY-P d6-24 C,M (Red dwarf) Star,6,74683.9141,0.458,Va,964,0.458,false,2691,Synuefe MY-P d6-24 A 10 g,3442.3928,Icy body,217,7204.5854
Synuefe NO-H c26-12,313.91,4,1,Synuefe NO-H c26-12 ABC 8,933,Class IV gas giant,3606.3586,true,false,0,0.004,3634.353216,3634.3241410579712,Synuefe NO-H c26-12 B,M (Red dwarf) Star,9,122.3314,0.3952,Va,710,0.3952,false,2249,Synuefe NO-H c26-12 ABC 8 h,3577.3328,Icy body,85,3065.3223
66 G. Apodis,245.59,2,1,66 G. Apodis A 2,928,Class IV gas giant,990.3758,false,false,0,0.0024,988.3792034999999,988.3763569637948,66 G. Apodis B,M (Red dwarf) Star,2,21742.8398,0.5957,,5652,0.5957,false,3447,66 G. Apodis A 2 f a,979,Rocky body,450,511.6075
Coelesi,221.32,4,1,Coelesi ABCD 1,927,Class IV gas giant,4530.7578,true,false,1,0.001,3929.664375,3929.6624101673215,Coelesi C,M (Red dwarf) Star,6,298.1062,0.4916,Va,5054,0.4916,false,2781,Coelesi ABCD 1 h,4508.5981,Rocky body,151,1415.7439
Khaima,93.16,3,1,Khaima ABC 1,922,Class IV gas giant,1455.163,true,false,1,0.0051,1453.4518635,1453.4329612356023,Khaima C,M (Red dwarf) Star,6,550.3358,0.4053,Va,12997,0.4053,false,2638,Khaima ABC 1 h,1488.5634,Icy body,336,2966.967
HIP 78419,331.10,5,1,HIP 78419 CDE 1,917,Class IV gas giant,177483.8906,true,false,2,0.001,3059.499456,3059.4979262498896,HIP 78419 D,M (Red dwarf) Star,3,175472.6094,0.6815,Va,1808,0.6815,false,3309,HIP 78419 CDE 1 f,177465.0312,Rocky Ice world,116,2577.8276
4 Cassiopeiae,785.95,2,2,4 Cassiopeiae AB 2,915,Class IV gas giant,1458,true,false,0,0.1592,0.199602,0.19705634639867767,4 Cassiopeiae B,M (Red dwarf) Star,9,353,0.4323,,7466,97.2031,false,2395,4 Cassiopeiae AB 2 g,1608.025,Rocky body,710,1144.5928
Synuefe EN-H d11-58,769.16,3,1,Synuefe EN-H d11-58 A 3,891,Class IV gas giant,2610.5491,false,true,2,0.0064,2596.422816,2596.369640716208,Synuefe EN-H d11-58 B,M (Red dwarf) Star,2,122885.375,0.6222,Va,5558,0.6222,false,3446,Synuefe EN-H d11-58 A 3 h,2611.9741,Rocky body,160,1311.6099
