===== PARAMETERS =====
Total rows : 437
Reference system: Sol
Area of search : 1000 ly
Max distance from star 1000 ls
Gas types Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Gas Body Name,Distance from Sol (ly),Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
Phi Eridani,Phi Eridani BC 2,153.71,1055,Class IV gas giant,87027.25,true,Phi Eridani C,M (Red dwarf) Star,3,87856.6406,0.5735,Va,356,3323,Phi Eridani BC 2 g,87037.2031,Rocky body,328,1357.2142
Khaima,Khaima ABC 1,93.16,922,Class IV gas giant,1455.163,true,Khaima C,M (Red dwarf) Star,6,550.3358,0.4053,Va,12997,2638,Khaima ABC 1 h,1488.5634,Icy body,336,2966.967
Col 285 Sector YT-Q c5-7,Col 285 Sector YT-Q c5-7 ABC 1,235.13,876,Class IV gas giant,1025.2422,true,Col 285 Sector YT-Q c5-7 B,M (Red dwarf) Star,9,481.8218,0.4135,Va,258,2300,Col 285 Sector YT-Q c5-7 ABC 1 h,1026.0861,Rocky body,158,1213.3602
Maljangapa,Maljangapa 4,176.41,840,Class IV gas giant,947.778,false,Maljangapa,T Tauri Star,0,0,0.8452,Va,208,4341,Maljangapa 4 f a,945.8271,Rocky body,180,691.218
Rho Ophiuchi Sector FW-W d1-54,Rho Ophiuchi Sector FW-W d1-54 AB 1,501.67,789,Class III gas giant,3181.9385,true,Rho Ophiuchi Sector FW-W d1-54 B,M (Red dwarf) Star,1,2795.0647,0.5752,,796,3624,Rho Ophiuchi Sector FW-W d1-54 AB 1 h,3172.2827,Rocky body,153,756.6851
Wregoe KA-L c22-4,Wregoe KA-L c22-4 1,344.35,724,Class III gas giant,663.0916,false,Wregoe KA-L c22-4,M (Red dwarf) Star,2,0,0.6487,Va,8510,3554,Wregoe KA-L c22-4 1 f,681.0363,Rocky body,151,2074.9907
Stock 1 Sector VI-H b11-0,Stock 1 Sector VI-H b11-0 4,830.01,723,Class III gas giant,891.6036,false,Stock 1 Sector VI-H b11-0,M (Red dwarf) Star,2,0,0.5773,Va,2534,3503,Stock 1 Sector VI-H b11-0 4 g,893.563,Rocky body,130,1466.5732
HIP 15804,HIP 15804 AB 2,454.29,722,Class III gas giant,1270.1765,true,HIP 15804 B,M (Red dwarf) Star,3,298.7361,0.5599,Va,1864,3330,HIP 15804 AB 2 h,1217.3855,Icy body,2174,3581.2781
Wredguia VF-A b55-10,Wredguia VF-A b55-10 2,407.93,706,Class III gas giant,685.5938,false,Wredguia VF-A b55-10,M (Red dwarf) Star,2,0,0.5613,Va,1350,3464,Wredguia VF-A b55-10 2 g,711.9609,Icy body,112,2845.376
Synuefe ZJ-Z c16-5,Synuefe ZJ-Z c16-5 AB 1,430.51,684,Class III gas giant,2015.1349,true,Synuefe ZJ-Z c16-5 B,M (Red dwarf) Star,7,1667,0.5028,,5724,2559,Synuefe ZJ-Z c16-5 AB 1 g,2045,Icy body,111,5448.3794
Col 285 Sector SI-J c9-8,Col 285 Sector SI-J c9-8 11,217.15,682,Class III gas giant,2865.5176,false,Col 285 Sector SI-J c9-8 10,T Tauri Star,9,1979.3374,0.0674,,202,333,Col 285 Sector SI-J c9-8 11 g,2901.0508,Icy body,104,2688.7209
Lak,Lak AB 1,104.29,681,Class III gas giant,2319.5049,true,Lak B,M (Red dwarf) Star,4,1401.1917,0.5407,Va,1150,3121,Lak AB 1 g,2315.0413,Rocky body,132,1957.796
Col 173 Sector EZ-D c13-4,Col 173 Sector EZ-D c13-4 BC 1,924.30,680,Class III gas giant,21613.6562,true,Col 173 Sector EZ-D c13-4 C,M (Red dwarf) Star,6,21801.7168,0.4624,Va,1300,2768,Col 173 Sector EZ-D c13-4 BC 1 f a,22063.7871,Rocky body,182,437.3558
Col 285 Sector JJ-O c7-11,Col 285 Sector JJ-O c7-11 AB 1,356.12,677,Class III gas giant,2861.7007,true,Col 285 Sector JJ-O c7-11 B,M (Red dwarf) Star,1,1885.2433,0.5686,Va,1686,3689,Col 285 Sector JJ-O c7-11 AB 1 h,2842.438,Icy body,107,2115.5637
HR 54,HR 54 ABCD 1,634.58,660,Class III gas giant,951.0476,true,HR 54 D,M (Red dwarf) Star,5,530.5079,0.5326,Va,9898,2995,HR 54 ABCD 1 g,958.093,Rocky body,550,1106.4821
HR 6001,HR 6001 2,478.92,643,Class III gas giant,996.183,false,HR 6001,M (Red giant) Star,6,0,51.6721,III,5766,2732,HR 6001 2 h,1007.6589,Rocky body,606,1020.279
HIP 31332,HIP 31332 AB 1,152.77,638,Class III gas giant,1726.1025,true,HIP 31332 B,M (Red dwarf) Star,4,1034.9854,0.5291,Va,3400,3188,HIP 31332 AB 1 f a,1741.3173,Rocky body,217,445.5342
Praea Euq VZ-P d5-24,Praea Euq VZ-P d5-24 ABC 1,825.37,624,Class III gas giant,2723.3894,true,Praea Euq VZ-P d5-24 C,M (Red dwarf) Star,9,1878.2462,0.3993,VI,1416,2143,Praea Euq VZ-P d5-24 ABC 1 g a,2727.856,Rocky body,153,512.7922
Praea Euq HI-I b23-5,Praea Euq HI-I b23-5 3,774.74,623,Class III gas giant,383.3992,false,Praea Euq HI-I b23-5,M (Red dwarf) Star,3,0,0.6223,Va,12682,3326,Praea Euq HI-I b23-5 3 h,389,Rocky body,174,788.5534
Col 359 Sector KR-D c12-4,Col 359 Sector KR-D c12-4 AB 3,764.92,623,Class III gas giant,1342.0912,true,Col 359 Sector KR-D c12-4 B,M (Red dwarf) Star,4,483.8798,0.6067,Va,4128,3214,Col 359 Sector KR-D c12-4 AB 3 h,1330.3203,Rocky body,173,1871.1537
LHS 3097,LHS 3097 AB 2,103.69,565,Class III gas giant,763.6562,true,LHS 3097 B,M (Red dwarf) Star,6,279.8684,0.4402,Va,9608,2619,LHS 3097 AB 2 h,758.9345,Rocky Ice world,117,650.3123
Apurusia,Apurusia AB 1,173.40,561,Class III gas giant,1502.7755,true,Apurusia B,M (Red dwarf) Star,5,698.285,0.5598,Va,8010,3017,Apurusia AB 1 h,1508.1884,Icy body,107,2885.9177
HIP 30088,HIP 30088 BCDE 2,323.25,560,Class III gas giant,206925.0156,true,HIP 30088 E,M (Red dwarf) Star,9,206660.25,0.4217,,780,2292,HIP 30088 BCDE 2 h,206936.5938,Icy body,208,2692.7041
Synuefe MO-O b49-0,Synuefe MO-O b49-0 5,971.20,547,Class III gas giant,764.2306,false,Synuefe MO-O b49-0,M (Red dwarf) Star,5,0,0.5819,,5622,3093,Synuefe MO-O b49-0 5 h,742.1753,Icy body,93,3160.5842
HIP 17287,HIP 17287 ABCD 2,522.69,543,Class III gas giant,617.0944,true,HIP 17287 D,M (Red dwarf) Star,9,350.8102,0.3341,VI,1376,2120,HIP 17287 ABCD 2 g,625.4878,Rocky body,451,824.9733
Ross 752,Ross 752 AB 1,159.27,537,Class III gas giant,1429.1127,true,Ross 752 B,M (Red dwarf) Star,7,731.8516,0.5066,Va,11886,2536,Ross 752 AB 1 h,1431.632,Icy body,102,1982.6155
HIP 15804,HIP 15804 AB 1,454.29,527,Class III gas giant,840.334,true,HIP 15804 B,M (Red dwarf) Star,3,298.7361,0.5599,Va,1864,3330,HIP 15804 AB 1 h,864.9153,Rocky body,345,925.9286
Praea Euq VF-N b20-2,Praea Euq VF-N b20-2 13,689.35,525,Class III gas giant,994.1507,false,Praea Euq VF-N b20-2,M (Red dwarf) Star,3,0,0.6267,Va,12964,3383,Praea Euq VF-N b20-2 13 h,994.9587,Icy body,111,2263.957
Praea Euq WG-W b15-5,Praea Euq WG-W b15-5 3,840.66,523,Class III gas giant,742.4004,false,Praea Euq WG-W b15-5,M (Red dwarf) Star,5,0,0.4967,Va,5396,2920,Praea Euq WG-W b15-5 3 h,733.7911,Icy body,98,1843.6005
Wredguia MZ-N c20-4,Wredguia MZ-N c20-4 ABC 2,941.67,513,Class III gas giant,1431,true,Wredguia MZ-N c20-4 C,M (Red dwarf) Star,9,664,0.3741,,2194,2194,Wredguia MZ-N c20-4 ABC 2 h,1414,Rocky body,169,781.2676
Col 173 Sector KT-Q d5-50,Col 173 Sector KT-Q d5-50 ABC 1,891.35,504,Class III gas giant,1764.6366,true,Col 173 Sector KT-Q d5-50 C,M (Red dwarf) Star,9,788.9556,0.3681,Va,5028,2305,Col 173 Sector KT-Q d5-50 ABC 1 h,1784.0059,Icy body,168,3966.4177
EP Eridani,EP Eridani AB 1,33.77,496,Class III gas giant,1806.6237,true,EP Eridani B,M (Red dwarf) Star,5,1623.821,0.6176,Va,9306,2992,EP Eridani AB 1 g a,1816.769,Icy body,113,633.5921
HIP 7564,HIP 7564 AB 1,144.68,496,Class III gas giant,4017.8186,true,HIP 7564 B,M (Red dwarf) Star,3,3039.8511,0.5457,Va,4784,3303,HIP 7564 AB 1 f a,3995.0027,Icy body,111,1118.3146
HIP 28452,HIP 28452 AB 1,155.24,494,Class III gas giant,2086.5208,true,HIP 28452 B,M (Red dwarf) Star,7,1643.9249,0.4762,Va,7316,2555,HIP 28452 AB 1 h,2070.395,Icy body,103,1192.3781
HIP 5574,HIP 5574 AB 3,400.70,490,Class III gas giant,1105.337,true,HIP 5574 B,M (Red dwarf) Star,4,285.405,0.5456,Va,340,3188,HIP 5574 AB 3 h,1117.4354,Rocky body,237,1597.7303
Synuefai FV-G b56-1,Synuefai FV-G b56-1 2,420.99,478,Class III gas giant,688.0301,false,Synuefai FV-G b56-1,M (Red dwarf) Star,4,0,0.5124,Va,13034,3247,Synuefai FV-G b56-1 2 g a,690.7787,Icy body,117,663.0561
HIP 48031,HIP 48031 B 2,308.55,472,Class III gas giant,261161.4062,false,HIP 48031 B,M (Red dwarf) Star,2,262124.2969,0.5466,Va,2696,3512,HIP 48031 B 2 g,261148.8594,Icy body,83,1957.4258
Bered,Bered ABC 1,143.93,463,Class III gas giant,1117.0533,true,Bered B,M (Red dwarf) Star,7,367.372,0.4828,Va,4672,2517,Bered ABC 1 h,1103.3564,Rocky body,416,552.2814
Wregoe MA-V b45-1,Wregoe MA-V b45-1 2,362.64,458,Class III gas giant,815.3691,false,Wregoe MA-V b45-1,M (Red dwarf) Star,4,0,0.6085,Va,12848,3162,Wregoe MA-V b45-1 2 g,828.3514,Icy body,95,2476.104
HIP 45996,HIP 45996 ABCD 1,156.66,456,Class III gas giant,1588.6736,true,HIP 45996 D,M (Red dwarf) Star,8,853.1649,0.4429,Va,5136,2424,HIP 45996 ABCD 1 g,1591.2048,Rocky body,189,1555.7117
